id,nome,valor
1,Arroz 5kg,24.9
2,Feijão 1kg,7.5
3,Macarrão 500g,4.2
4,Açúcar 1kg,4.8
5,Sal 1kg,2.3
6,Óleo de Soja 900ml,6.9
7,Leite 1L,4.5
8,Café 500g,14.9
9,Farinha de Trigo 1kg,5.6
10,Fubá 1kg,3.4
11,Molho de Tomate 340g,2.8
12,Milho Verde Lata,3.2
13,Ervilha Lata,3.1
14,Atum Lata,8.9
15,Sardinha Lata,5.7
16,Refrigerante 2L,8.5
17,Suco Caixa 1L,6.4
18,Biscoito Recheado,3.9
19,Chocolate Barra 90g,4.7
20,Margarina 500g,6.2
21,Manteiga 200g,9.8
22,Queijo Mussarela 1kg,39.9
23,Presunto 1kg,29.9
24,Pão de Forma,7.2
25,Ovos Cartela 12un,9.5
26,Detergente 500ml,2.5
27,Sabão em Pó 1kg,12.9
28,Amaciante 2L,14.5
29,Desinfetante 2L,6.8
30,Água Sanitária 2L,5.3
31,Papel Higiênico 12un,18.9
32,Creme Dental,3.8
33,Shampoo 350ml,11.9
34,Condicionador 350ml,12.5
35,Sabonete Unidade,2.2
36,Carne Bovina 1kg,34.9
37,Frango 1kg,14.9
38,Linguiça 1kg,19.9
39,Batata 1kg,5.9
40,Tomate 1kg,6.7
41,Cebola 1kg,4.9
42,Alho 100g,3.5
43,Banana 1kg,4.8
44,Maçã 1kg,7.9
45,Laranja 1kg,3.9
46,Cenoura 1kg,4.6
47,Repolho Unidade,5.5
48,Iogurte 170g,2.7
49,Cerveja Lata 350ml,3.5
50,Vinho Garrafa 750ml,29.9
